User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,JoinMonthYear
21,Premium,15,2023-06-10,2023-06-22,United States,26,Female,Laptop,1 Month,2023-06
22,Basic,10,2022-07-22,2023-06-28,Canada,34,Male,Smartphone,1 Month,2022-07
23,Standard,12,2021-12-05,2023-06-27,United Kingdom,49,Female,Smart TV,1 Month,2021-12
24,Standard,12,2022-04-03,2023-06-26,Australia,31,Male,Tablet,1 Month,2022-04
25,Basic,10,2023-03-14,2023-06-28,Germany,40,Female,Laptop,1 Month,2023-03
26,Premium,15,2022-01-12,2023-06-27,France,29,Male,Smartphone,1 Month,2022-01
27,Basic,10,2022-08-29,2023-06-25,Brazil,47,Female,Smart TV,1 Month,2022-08
28,Standard,12,2021-09-27,2023-06-24,Mexico,33,Male,Tablet,1 Month,2021-09
29,Premium,15,2022-12-19,2023-06-23,Spain,36,Female,Laptop,1 Month,2022-12
30,Basic,10,2023-05-17,2023-06-22,Italy,42,Male,Smartphone,1 Month,2023-05
31,Premium,15,2023-02-03,2023-06-22,United States,28,Female,Smart TV,1 Month,2023-02
32,Basic,10,2022-07-07,2023-06-28,Canada,37,Male,Tablet,1 Month,2022-07
33,Standard,12,2022-01-21,2023-06-27,United Kingdom,41,Female,Laptop,1 Month,2022-01
34,Standard,12,2022-05-25,2023-06-26,Australia,29,Male,Smartphone,1 Month,2022-05
35,Basic,10,2023-04-11,2023-06-28,Germany,39,Female,Smart TV,1 Month,2023-04
36,Premium,15,2022-03-01,2023-06-27,France,35,Male,Tablet,1 Month,2022-03
37,Basic,10,2022-09-14,2023-06-25,Brazil,45,Female,Laptop,1 Month,2022-09
38,Standard,12,2021-11-05,2023-06-24,Mexico,32,Male,Smartphone,1 Month,2021-11
39,Premium,15,2022-12-28,2023-06-23,Spain,27,Female,Smart TV,1 Month,2022-12
40,Basic,10,2023-03-07,2023-06-22,Italy,48,Male,Tablet,1 Month,2023-03
41,Premium,15,2023-01-20,2023-06-22,United States,31,Female,Laptop,1 Month,2023-01
42,Basic,10,2022-06-15,2023-06-28,Canada,40,Male,Smartphone,1 Month,2022-06
43,Standard,12,2022-02-07,2023-06-27,United Kingdom,36,Female,Smart TV,1 Month,2022-02
44,Standard,12,2022-04-26,2023-06-26,Australia,29,Male,Tablet,1 Month,2022-04
45,Basic,10,2023-01-28,2023-06-28,Germany,43,Female,Laptop,1 Month,2023-01
46,Premium,15,2022-02-23,2023-06-27,France,34,Male,Smartphone,1 Month,2022-02
47,Basic,10,2022-10-05,2023-06-25,Brazil,39,Female,Smart TV,1 Month,2022-10
48,Standard,12,2021-09-15,2023-06-24,Mexico,32,Male,Tablet,1 Month,2021-09
49,Premium,15,2022-11-10,2023-06-23,Spain,28,Female,Laptop,1 Month,2022-11
50,Basic,10,2023-06-02,2023-06-22,Italy,45,Male,Smartphone,1 Month,2023-06
51,Premium,15,2023-02-27,2023-06-22,United States,30,Female,Smart TV,1 Month,2023-02
52,Basic,10,2022-08-29,2023-06-28,Canada,37,Male,Tablet,1 Month,2022-08
53,Standard,12,2022-01-13,2023-06-27,United Kingdom,41,Female,Laptop,1 Month,2022-01
54,Standard,12,2022-06-30,2023-06-26,Australia,29,Male,Smartphone,1 Month,2022-06
55,Basic,10,2023-04-20,2023-06-28,Germany,39,Female,Smart TV,1 Month,2023-04
56,Premium,15,2022-03-15,2023-06-27,France,36,Male,Tablet,1 Month,2022-03
57,Basic,10,2022-10-01,2023-06-25,Brazil,46,Female,Laptop,1 Month,2022-10
58,Standard,12,2021-10-08,2023-06-24,Mexico,34,Male,Smartphone,1 Month,2021-10
59,Premium,15,2022-12-03,2023-06-23,Spain,27,Female,Smart TV,1 Month,2022-12
60,Basic,10,2023-06-14,2023-06-22,Italy,42,Male,Tablet,1 Month,2023-06
61,Premium,15,2023-02-08,2023-06-22,United States,28,Female,Laptop,1 Month,2023-02
62,Basic,10,2022-08-03,2023-06-28,Canada,37,Male,Smartphone,1 Month,2022-08
63,Standard,12,2022-02-23,2023-06-27,United Kingdom,41,Female,Smart TV,1 Month,2022-02
64,Standard,12,2022-06-20,2023-06-26,Australia,29,Male,Tablet,1 Month,2022-06
65,Basic,10,2023-03-29,2023-06-28,Germany,40,Female,Laptop,1 Month,2023-03
66,Premium,15,2022-01-30,2023-06-27,France,29,Male,Smartphone,1 Month,2022-01
67,Basic,10,2022-09-18,2023-06-25,Brazil,47,Female,Smart TV,1 Month,2022-09
68,Standard,12,2021-11-09,2023-06-24,Mexico,33,Male,Tablet,1 Month,2021-11
69,Premium,15,2022-12-23,2023-06-23,Spain,36,Female,Laptop,1 Month,2022-12
70,Basic,10,2023-05-08,2023-06-22,Italy,41,Male,Smartphone,1 Month,2023-05
71,Basic,10,2022-01-26,2023-06-20,United States,27,Male,Smartphone,1 Month,2022-01
72,Basic,10,2022-10-11,2023-06-22,Canada,31,Female,Smartphone,1 Month,2022-10
73,Standard,12,2022-09-27,2023-06-26,United Kingdom,28,Female,Laptop,1 Month,2022-09
74,Premium,13,2022-12-14,2023-06-25,Australia,41,Female,Smartphone,1 Month,2022-12
75,Basic,13,2022-05-28,2023-06-26,Germany,28,Female,Laptop,1 Month,2022-05
76,Basic,13,2021-12-29,2023-06-26,France,51,Female,Laptop,1 Month,2021-12
77,Premium,15,2022-12-25,2023-06-23,Brazil,45,Female,Smartphone,1 Month,2022-12
78,Standard,15,2022-11-18,2023-06-28,Mexico,49,Male,Tablet,1 Month,2022-11
79,Standard,15,2022-12-03,2023-06-25,Spain,43,Female,Laptop,1 Month,2022-12
80,Basic,12,2022-11-08,2023-06-22,Italy,43,Male,Tablet,1 Month,2022-11
81,Premium,10,2023-01-11,2023-06-24,United States,37,Male,Tablet,1 Month,2023-01
82,Standard,12,2022-12-07,2023-06-28,Canada,35,Male,Laptop,1 Month,2022-12
83,Basic,10,2022-10-20,2023-06-26,United Kingdom,46,Female,Smartphone,1 Month,2022-10
84,Standard,12,2023-04-13,2023-06-25,Australia,32,Male,Smartphone,1 Month,2023-04
85,Premium,10,2023-04-06,2023-06-27,Germany,37,Female,Laptop,1 Month,2023-04
86,Basic,11,2022-03-04,2023-06-25,France,29,Female,Smartphone,1 Month,2022-03
87,Premium,15,2021-12-28,2023-06-23,Brazil,45,Male,Smart TV,1 Month,2021-12
88,Standard,12,2022-09-27,2023-06-28,Mexico,47,Male,Tablet,1 Month,2022-09
89,Basic,15,2022-10-20,2023-06-26,Spain,39,Male,Smartphone,1 Month,2022-10
90,Standard,13,2023-02-03,2023-06-23,Italy,49,Female,Smartphone,1 Month,2023-02
91,Premium,11,2022-10-03,2023-06-23,United States,39,Male,Tablet,1 Month,2022-10
92,Basic,14,2022-01-05,2023-06-28,Canada,39,Male,Smart TV,1 Month,2022-01
93,Standard,12,2022-02-05,2023-06-26,United Kingdom,35,Male,Smartphone,1 Month,2022-02
94,Premium,12,2022-03-19,2023-06-25,Australia,44,Male,Smartphone,1 Month,2022-03
95,Basic,11,2022-02-28,2023-06-25,Germany,34,Male,Laptop,1 Month,2022-02
96,Premium,14,2022-07-26,2023-06-24,France,32,Male,Laptop,1 Month,2022-07
97,Basic,10,2022-03-05,2023-06-24,Brazil,29,Female,Tablet,1 Month,2022-03
98,Standard,13,2022-03-07,2023-06-28,Mexico,31,Female,Tablet,1 Month,2022-03
99,Standard,12,2023-01-13,2023-06-24,Spain,29,Female,Tablet,1 Month,2023-01
100,Basic,12,2023-01-22,2023-06-25,Italy,35,Male,Laptop,1 Month,2023-01
101,Premium,11,2022-10-17,2023-06-24,United States,46,Female,Tablet,1 Month,2022-10
102,Basic,12,2022-03-29,2023-06-28,Canada,31,Male,Tablet,1 Month,2022-03
103,Standard,13,2022-04-04,2023-06-26,United Kingdom,36,Male,Laptop,1 Month,2022-04
104,Premium,10,2022-06-08,2023-06-25,Australia,38,Male,Laptop,1 Month,2022-06
105,Basic,11,2022-03-04,2023-06-27,Germany,46,Female,Laptop,1 Month,2022-03
106,Premium,10,2022-03-18,2023-06-24,France,49,Female,Tablet,1 Month,2022-03
107,Basic,14,2022-03-07,2023-06-24,Brazil,29,Female,Smart TV,1 Month,2022-03
108,Standard,12,2022-05-24,2023-06-25,Mexico,27,Female,Smart TV,1 Month,2022-05
109,Standard,13,2023-02-08,2023-06-25,Spain,35,Female,Tablet,1 Month,2023-02
110,Basic,13,2023-01-26,2023-06-24,Italy,37,Female,Laptop,1 Month,2023-01
111,Premium,14,2022-07-14,2023-06-27,United States,40,Male,Tablet,1 Month,2022-07
112,Basic,10,2022-06-01,2023-06-28,Canada,33,Female,Laptop,1 Month,2022-06
113,Standard,15,2022-05-07,2023-06-26,United Kingdom,37,Male,Tablet,1 Month,2022-05
114,Premium,10,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,1 Month,2022-11
115,Basic,11,2022-04-05,2023-06-25,Germany,50,Female,Laptop,1 Month,2022-04
116,Premium,14,2022-05-19,2023-06-23,France,45,Female,Smart TV,1 Month,2022-05
117,Basic,15,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,1 Month,2021-10
118,Standard,12,2022-08-07,2023-06-27,Mexico,33,Male,Smartphone,1 Month,2022-08
119,Standard,11,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,1 Month,2022-09
120,Basic,10,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,1 Month,2022-10
121,Premium,15,2022-10-03,2023-06-24,United States,27,Male,Smart TV,1 Month,2022-10
122,Basic,11,2022-05-03,2023-06-28,Canada,51,Male,Smart TV,1 Month,2022-05
123,Standard,13,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,1 Month,2022-05
124,Premium,15,2022-11-05,2023-06-25,Australia,43,Male,Laptop,1 Month,2022-11
125,Basic,12,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,1 Month,2022-08
126,Premium,13,2022-09-21,2023-06-23,France,45,Male,Laptop,1 Month,2022-09
127,Basic,10,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,1 Month,2021-11
128,Standard,12,2022-10-06,2023-06-27,Mexico,48,Male,Smartphone,1 Month,2022-10
129,Standard,13,2022-11-05,2023-06-23,Spain,38,Male,Smart TV,1 Month,2022-11
130,Basic,14,2023-01-07,2023-06-23,Italy,43,Female,Tablet,1 Month,2023-01
131,Premium,15,2022-10-06,2023-06-23,United States,47,Male,Laptop,1 Month,2022-10
132,Basic,15,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,1 Month,2022-06
133,Standard,13,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,1 Month,2022-06
134,Premium,15,2022-11-05,2023-06-25,Australia,32,Male,Tablet,1 Month,2022-11
135,Basic,13,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,1 Month,2022-07
136,Premium,12,2022-09-13,2023-06-26,France,41,Female,Smart TV,1 Month,2022-09
137,Basic,12,2022-08-10,2023-06-22,Brazil,49,Male,Laptop,1 Month,2022-08
138,Standard,15,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,1 Month,2022-09
139,Standard,13,2023-03-24,2023-06-23,Spain,40,Male,Smartphone,1 Month,2023-03
140,Basic,12,2022-05-02,2023-06-23,Italy,43,Female,Smartphone,1 Month,2022-05
141,Premium,12,2022-05-11,2023-06-27,United States,42,Male,Smartphone,1 Month,2022-05
142,Basic,14,2022-06-10,2023-06-22,Canada,28,Male,Smart TV,1 Month,2022-06
143,Standard,14,2022-08-31,2023-06-24,United Kingdom,30,Female,Tablet,1 Month,2022-08
144,Premium,10,2022-08-17,2023-06-26,Australia,33,Male,Smart TV,1 Month,2022-08
145,Basic,11,2022-05-05,2023-06-26,Germany,35,Female,Laptop,1 Month,2022-05
146,Basic,10,2022-10-06,2023-06-25,France,38,Male,Tablet,1 Month,2022-10
147,Basic,12,2022-11-08,2023-06-24,Brazil,49,Female,Laptop,1 Month,2022-11
148,Standard,15,2022-11-27,2023-06-28,Mexico,39,Female,Smartphone,1 Month,2022-11
149,Premium,13,2022-11-17,2023-06-27,Spain,46,Female,Smart TV,1 Month,2022-11
150,Basic,10,2022-12-15,2023-06-23,Italy,47,Female,Laptop,1 Month,2022-12
151,Basic,15,2022-12-12,2023-06-25,United States,30,Female,Laptop,1 Month,2022-12
152,Premium,14,2022-11-23,2023-06-27,Canada,33,Female,Tablet,1 Month,2022-11
153,Standard,11,2022-12-25,2023-06-24,United Kingdom,47,Male,Smartphone,1 Month,2022-12
154,Standard,11,2023-03-11,2023-06-27,Australia,27,Male,Laptop,1 Month,2023-03
155,Basic,14,2022-11-18,2023-06-27,Germany,28,Male,Tablet,1 Month,2022-11
156,Premium,15,2022-08-19,2023-06-25,France,47,Male,Smartphone,1 Month,2022-08
157,Standard,14,2022-09-27,2023-06-24,Brazil,30,Male,Laptop,1 Month,2022-09
158,Basic,13,2022-10-19,2023-06-28,Mexico,47,Female,Smartphone,1 Month,2022-10
159,Standard,10,2022-12-21,2023-06-26,Spain,51,Female,Smart TV,1 Month,2022-12
160,Premium,15,2022-10-27,2023-06-25,Italy,39,Male,Smartphone,1 Month,2022-10
161,Basic,10,2022-10-23,2023-06-24,United States,45,Male,Tablet,1 Month,2022-10
162,Premium,15,2022-04-19,2023-06-25,Canada,31,Male,Laptop,1 Month,2022-04
163,Standard,11,2022-04-05,2023-06-26,United Kingdom,29,Male,Laptop,1 Month,2022-04
164,Basic,11,2022-03-11,2023-06-26,Australia,42,Female,Tablet,1 Month,2022-03
165,Standard,14,2022-05-25,2023-06-25,Germany,49,Male,Tablet,1 Month,2022-05
166,Premium,13,2022-04-16,2023-06-26,France,42,Male,Laptop,1 Month,2022-04
167,Basic,13,2022-04-07,2023-06-24,Brazil,29,Male,Smartphone,1 Month,2022-04
168,Standard,10,2022-12-11,2023-06-28,Mexico,29,Male,Tablet,1 Month,2022-12
169,Premium,12,2023-01-20,2023-06-26,Spain,49,Male,Tablet,1 Month,2023-01
170,Basic,14,2023-01-12,2023-06-25,Italy,32,Male,Laptop,1 Month,2023-01
171,Premium,11,2022-04-29,2023-06-24,United States,35,Female,Tablet,1 Month,2022-04
172,Basic,12,2022-04-27,2023-06-26,Canada,39,Female,Smartphone,1 Month,2022-04
173,Standard,15,2022-06-03,2023-06-25,United Kingdom,40,Male,Smartphone,1 Month,2022-06
174,Standard,14,2022-04-23,2023-06-25,Australia,39,Female,Tablet,1 Month,2022-04
175,Basic,10,2022-04-22,2023-06-26,Germany,47,Female,Laptop,1 Month,2022-04
176,Premium,13,2022-04-12,2023-06-25,France,37,Female,Smart TV,1 Month,2022-04
177,Basic,15,2022-05-23,2023-06-26,Brazil,27,Female,Smartphone,1 Month,2022-05
178,Standard,13,2022-10-19,2023-06-26,Mexico,49,Female,Laptop,1 Month,2022-10
179,Premium,10,2022-12-03,2023-06-26,Spain,30,Female,Tablet,1 Month,2022-12
180,Basic,14,2022-09-26,2023-06-25,Italy,36,Male,Laptop,1 Month,2022-09
181,Premium,15,2022-06-16,2023-06-27,United States,33,Male,Smartphone,1 Month,2022-06
182,Basic,13,2022-05-16,2023-06-25,Canada,30,Female,Laptop,1 Month,2022-05
183,Standard,15,2022-05-26,2023-06-26,United Kingdom,36,Female,Tablet,1 Month,2022-05
184,Standard,13,2022-04-26,2023-06-25,Australia,28,Female,Laptop,1 Month,2022-04
185,Basic,11,2022-05-12,2023-06-25,Germany,47,Female,Tablet,1 Month,2022-05
186,Premium,12,2022-03-01,2023-06-25,France,33,Female,Smart TV,1 Month,2022-03
187,Basic,13,2022-07-10,2023-06-24,Brazil,49,Female,Laptop,1 Month,2022-07
188,Standard,15,2022-07-16,2023-06-27,Mexico,44,Female,Smart TV,1 Month,2022-07
189,Premium,13,2022-09-02,2023-06-26,Spain,47,Male,Smart TV,1 Month,2022-09
190,Basic,11,2022-09-18,2023-06-26,Italy,37,Female,Tablet,1 Month,2022-09
191,Premium,10,2022-07-08,2023-06-25,United States,46,Male,Laptop,1 Month,2022-07
192,Basic,14,2022-06-26,2023-06-27,Canada,50,Female,Smartphone,1 Month,2022-06
193,Standard,11,2022-08-05,2023-06-25,United Kingdom,50,Male,Laptop,1 Month,2022-08
194,Standard,14,2022-08-19,2023-06-27,Australia,37,Male,Laptop,1 Month,2022-08
195,Basic,11,2022-08-26,2023-06-24,Germany,50,Female,Smartphone,1 Month,2022-08
196,Premium,13,2022-06-09,2023-06-24,France,45,Female,Smart TV,1 Month,2022-06
197,Basic,14,2022-09-27,2023-06-23,Brazil,45,Male,Tablet,1 Month,2022-09
198,Standard,10,2022-10-18,2023-06-27,Mexico,49,Female,Laptop,1 Month,2022-10
199,Premium,14,2022-10-31,2023-06-25,Spain,39,Female,Tablet,1 Month,2022-10
200,Basic,11,2022-10-13,2023-06-25,Italy,45,Female,Tablet,1 Month,2022-10
201,Premium,11,2022-07-04,2023-06-27,United States,49,Female,Smart TV,1 Month,2022-07
202,Basic,12,2022-06-26,2023-06-27,Canada,31,Female,Tablet,1 Month,2022-06
203,Standard,13,2022-07-31,2023-06-24,United Kingdom,42,Female,Smart TV,1 Month,2022-07
204,Standard,12,2022-07-27,2023-06-24,Australia,37,Male,Smartphone,1 Month,2022-07
205,Basic,12,2022-07-30,2023-06-25,Germany,30,Male,Smart TV,1 Month,2022-07
206,Premium,11,2022-08-06,2023-06-25,France,40,Male,Smartphone,1 Month,2022-08
207,Basic,15,2022-09-16,2023-06-24,Brazil,45,Female,Smartphone,1 Month,2022-09
208,Standard,15,2023-01-05,2023-06-23,Mexico,36,Female,Tablet,1 Month,2023-01
209,Premium,11,2022-12-10,2023-06-24,Spain,41,Male,Laptop,1 Month,2022-12
210,Basic,14,2022-11-22,2023-06-26,Italy,49,Female,Laptop,1 Month,2022-11
211,Premium,15,2022-11-15,2023-06-27,United States,40,Male,Tablet,1 Month,2022-11
212,Basic,11,2022-10-28,2023-06-26,Canada,36,Male,Smart TV,1 Month,2022-10
213,Standard,12,2022-09-08,2023-06-24,United Kingdom,49,Female,Smart TV,1 Month,2022-09
214,Standard,13,2022-06-30,2023-06-28,Australia,43,Female,Laptop,1 Month,2022-06
215,Basic,13,2022-09-02,2023-06-27,Germany,50,Female,Smartphone,1 Month,2022-09
216,Premium,14,2022-10-08,2023-06-24,France,51,Female,Smart TV,1 Month,2022-10
217,Basic,15,2022-11-13,2023-06-25,Brazil,44,Male,Smart TV,1 Month,2022-11
218,Standard,12,2022-11-15,2023-06-28,Mexico,27,Male,Tablet,1 Month,2022-11
219,Premium,12,2022-11-16,2023-06-25,Spain,46,Female,Smartphone,1 Month,2022-11
220,Basic,12,2022-11-26,2023-06-27,Italy,29,Male,Tablet,1 Month,2022-11
221,Basic,12,2022-11-26,2023-06-25,United States,47,Male,Smartphone,1 Month,2022-11
222,Basic,10,2022-12-12,2023-06-26,Canada,48,Female,Smartphone,1 Month,2022-12
223,Standard,12,2023-01-08,2023-06-25,United Kingdom,34,Female,Smartphone,1 Month,2023-01
224,Premium,15,2022-11-27,2023-06-29,Australia,40,Female,Smartphone,1 Month,2022-11
225,Basic,14,2022-10-11,2023-06-27,Germany,48,Female,Smartphone,1 Month,2022-10
226,Basic,10,2022-09-27,2023-06-26,France,35,Male,Smartphone,1 Month,2022-09
227,Premium,12,2022-09-30,2023-06-24,Brazil,51,Female,Smartphone,1 Month,2022-09
228,Standard,10,2022-11-04,2023-06-27,Mexico,39,Male,Smart TV,1 Month,2022-11
229,Standard,13,2022-11-04,2023-06-27,Spain,29,Male,Smartphone,1 Month,2022-11
230,Basic,12,2022-10-30,2023-06-26,Italy,51,Male,Laptop,1 Month,2022-10
231,Premium,11,2022-10-29,2023-06-24,United States,43,Male,Smartphone,1 Month,2022-10
232,Standard,11,2022-08-30,2023-06-27,Canada,28,Male,Smartphone,1 Month,2022-08
233,Basic,15,2022-07-07,2023-06-26,United Kingdom,50,Female,Smart TV,1 Month,2022-07
234,Standard,14,2022-05-26,2023-06-27,Australia,44,Female,Laptop,1 Month,2022-05
235,Premium,11,2022-05-17,2023-06-25,Germany,50,Male,Laptop,1 Month,2022-05
236,Basic,11,2022-05-08,2023-06-26,France,39,Female,Smartphone,1 Month,2022-05
237,Premium,13,2022-07-07,2023-06-25,Brazil,46,Female,Tablet,1 Month,2022-07
238,Standard,15,2022-07-17,2023-06-28,Mexico,48,Male,Smartphone,1 Month,2022-07
239,Basic,15,2022-12-23,2023-06-26,Spain,38,Male,Smart TV,1 Month,2022-12
240,Standard,13,2022-06-27,2023-06-26,Italy,38,Male,Smartphone,1 Month,2022-06
241,Premium,13,2022-05-31,2023-06-27,United States,47,Male,Laptop,1 Month,2022-05
242,Basic,12,2022-06-02,2023-06-26,Canada,37,Male,Laptop,1 Month,2022-06
243,Standard,11,2022-05-25,2023-06-27,United Kingdom,33,Male,Laptop,1 Month,2022-05
244,Premium,15,2022-04-26,2023-06-26,Australia,28,Male,Smartphone,1 Month,2022-04
245,Basic,13,2022-04-20,2023-06-26,Germany,47,Male,Smart TV,1 Month,2022-04
246,Premium,11,2022-05-03,2023-06-25,France,38,Female,Smartphone,1 Month,2022-05
247,Basic,12,2022-07-07,2023-06-27,Brazil,27,Male,Smart TV,1 Month,2022-07
248,Standard,13,2022-09-15,2023-06-26,Mexico,34,Male,Smartphone,1 Month,2022-09
249,Standard,14,2022-09-16,2023-06-27,Spain,42,Female,Smartphone,1 Month,2022-09
250,Basic,14,2022-08-09,2023-06-26,Italy,28,Male,Laptop,1 Month,2022-08
251,Premium,15,2022-06-25,2023-06-27,United States,30,Male,Laptop,1 Month,2022-06
252,Basic,11,2022-05-30,2023-06-26,Canada,38,Female,Smartphone,1 Month,2022-05
253,Standard,15,2022-05-21,2023-06-25,United Kingdom,45,Female,Tablet,1 Month,2022-05
254,Premium,12,2022-05-20,2023-06-27,Australia,48,Female,Smart TV,1 Month,2022-05
255,Basic,13,2022-05-20,2023-06-26,Germany,46,Female,Smart TV,1 Month,2022-05
256,Premium,12,2022-05-30,2023-06-26,France,34,Male,Tablet,1 Month,2022-05
257,Basic,13,2022-06-17,2023-06-25,Brazil,46,Male,Laptop,1 Month,2022-06
258,Standard,11,2022-07-16,2023-06-28,Mexico,41,Female,Smartphone,1 Month,2022-07
259,Standard,15,2022-08-05,2023-06-26,Spain,28,Male,Smartphone,1 Month,2022-08
260,Basic,10,2022-07-17,2023-06-26,Italy,27,Female,Smartphone,1 Month,2022-07
261,Premium,13,2022-07-04,2023-06-25,United States,27,Female,Smart TV,1 Month,2022-07
262,Basic,12,2022-07-13,2023-06-26,Canada,28,Female,Tablet,1 Month,2022-07
263,Standard,15,2022-07-25,2023-06-24,United Kingdom,46,Male,Smartphone,1 Month,2022-07
264,Premium,10,2022-08-09,2023-06-27,Australia,51,Male,Smartphone,1 Month,2022-08
265,Basic,11,2022-08-05,2023-06-25,Germany,32,Female,Smart TV,1 Month,2022-08
266,Premium,10,2022-08-17,2023-06-26,France,44,Male,Tablet,1 Month,2022-08
267,Basic,11,2022-09-08,2023-06-27,Brazil,44,Female,Laptop,1 Month,2022-09
268,Standard,13,2022-10-16,2023-06-28,Mexico,34,Female,Smart TV,1 Month,2022-10
269,Standard,13,2022-10-15,2023-06-25,Spain,29,Female,Laptop,1 Month,2022-10
270,Basic,12,2022-09-04,2023-06-25,Italy,47,Male,Smart TV,1 Month,2022-09
271,Premium,14,2022-08-20,2023-06-26,United States,41,Male,Laptop,1 Month,2022-08
272,Basic,10,2022-08-10,2023-06-26,Canada,36,Female,Smartphone,1 Month,2022-08
273,Standard,12,2022-08-02,2023-06-25,United Kingdom,28,Female,Laptop,1 Month,2022-08
274,Premium,10,2022-08-01,2023-06-24,Australia,27,Female,Tablet,1 Month,2022-08
275,Basic,15,2022-08-06,2023-06-25,Germany,34,Female,Laptop,1 Month,2022-08
276,Premium,14,2022-08-09,2023-06-25,France,34,Female,Smart TV,1 Month,2022-08
277,Basic,13,2022-09-12,2023-06-26,Brazil,37,Female,Tablet,1 Month,2022-09
278,Standard,14,2022-09-27,2023-06-26,Mexico,34,Female,Laptop,1 Month,2022-09
279,Standard,15,2022-11-12,2023-06-24,Spain,50,Female,Laptop,1 Month,2022-11
280,Basic,12,2022-11-13,2023-06-27,Italy,34,Female,Laptop,1 Month,2022-11
281,Premium,12,2022-11-02,2023-06-28,United States,33,Female,Smart TV,1 Month,2022-11
282,Basic,11,2022-10-30,2023-06-25,Canada,33,Male,Smart TV,1 Month,2022-10
283,Standard,15,2022-06-30,2023-06-26,United Kingdom,46,Male,Smartphone,1 Month,2022-06
284,Premium,14,2022-08-04,2023-06-28,Australia,39,Female,Smartphone,1 Month,2022-08
285,Basic,10,2022-09-01,2023-06-27,Germany,42,Female,Laptop,1 Month,2022-09
286,Premium,14,2022-10-14,2023-06-27,France,50,Female,Laptop,1 Month,2022-10
287,Basic,10,2022-10-16,2023-06-26,Brazil,43,Male,Smartphone,1 Month,2022-10
288,Standard,14,2022-10-20,2023-06-28,Mexico,51,Male,Smart TV,1 Month,2022-10
289,Standard,15,2022-11-20,2023-06-25,Spain,34,Female,Smart TV,1 Month,2022-11
290,Basic,12,2022-11-25,2023-06-30,Italy,48,Male,Smartphone,1 Month,2022-11
291,Premium,13,2022-12-04,2023-06-27,United States,29,Female,Tablet,1 Month,2022-12
292,Basic,11,2022-12-12,2023-06-27,Canada,43,Female,Laptop,1 Month,2022-12
293,Standard,14,2022-12-09,2023-06-25,United Kingdom,39,Female,Laptop,1 Month,2022-12
294,Premium,10,2022-10-15,2023-06-29,Australia,50,Male,Laptop,1 Month,2022-10
295,Basic,14,2022-10-03,2023-06-27,Germany,45,Male,Laptop,1 Month,2022-10
296,Basic,12,2022-10-01,2023-06-27,France,48,Female,Tablet,1 Month,2022-10
297,Basic,13,2022-11-02,2023-06-24,Brazil,40,Male,Smartphone,1 Month,2022-11
